分野,単語,英語,意味,
ITパスポート,BABOK,Business Analysis Body of Knowledge,経営ニーズやテークホルダの課題を調査し、整理し、検証して取りまとめるビジネス分析のノウハウやベストプラクティスを体系化したビジネスアナリシス知識体系ガイドという書籍のこと,
ITパスポート,BPMN,,"ビジネスプロセスモデリング表記法
11個の基本要素を用いて、ビジネスプロセスをワークフローとして視覚的に表現するための手法",
ITパスポート,OMG,Object Management Group,コンピュータ業界の非営利の標準化コンソーシアムであり、国際的で誰でも会員になれる。様々な技術および広範囲の業種について企業統合標準を開発している,
ITパスポート,SDGs,Sustainable Development Goals,"持続可能な開発目標
国連が採択した、2030年までに達成されるべき開発目標を示す言葉",
ITパスポート,SDK,Software Development Kit,"ソフトウェア開発キットのこと
開発者が特定のシステムに対応したソフトウェアを作成できるように、プログラム群や技術文書などの開発ツールワンセットにしたもの",
ITパスポート,SGA,Selling and Generally Administrative expenses,損益計算において使用される販売費および一般管理費の略称,
ITパスポート,SGML,Standard Generalized Markup Language,文書を電子的に変換するための汎用マークアップ言語で、文書の中にタグを埋め込んで、書体や文字の大きさ、段落などを記述することができる,
ストラテジ系,3PL,3rd Party Logistics,ある企業の物流の全部または一部を第三者企業が受託することで実現する物流業務形態の一つ,
ストラテジ系,ADAS,Advanced Driver-Assistance Systems,"先進運転支援システム
自動車に取り付けたセンサーで車両の状態、路面状況などのデータを計測し、ネットワークを介して保存し分析することによって、効率的な運転を支援する",
ストラテジ系,ANSI,American National Standards Institute,アメリカ合衆国の工業的な分野の標準化組織であり公の合意形成のために、様々な企画開発を行う団体,
ストラテジ系,AR,Augmented Reality,拡張現実とも呼ばれ、現実世界の情報にデジタル合成などによって作られた情報を重ねて、人間が見る現実世界を拡張する技術。現実の一部を改変する,
ストラテジ系,ASP,Application Service Provider,"インターネットを通じて、主に業務用のソフトウェアやアプリケーションの利用環境を顧客に提供する事業者

ソフトウェアをダウンロードさせる対価としてライセンス料を課金する（SaaSは使用量やプランによって金額が決まる）",
ストラテジ系,BCP,Business Continuity Planning,"事業続計画。現在、大半の組織では業務活動にICTを使用しており、情報システムへの依存度が増大している。実際に事業中断原因として、機器の故障やソフトウェア障害、マルウェア感染などが多く報告されており、情報システム障害は事業中断の大きさ原因となっている。このため、自然災害などだけでなく情報システム障害やマルウェア感染時の対応もBCPの検討範囲に含めるべき

使用目的：経営資源が縮減された状況における重要事業の継続
1. BCP発動フェーズ
2. 業務再開フェーズ
3. 業務回復フェーズ
4. 全面復旧フェーズ",
ストラテジ系,BI,Business Intelligence,"組織の業務システムに蓄積された膨大なデータを分析・加工し、営業や業務に役立つ情報を見つけ出す手法・技術の総称

ビジネスインテリジェンス。組織の業務システムに蓄積された膨大な企業外内のデータを分析・加工し、営業や業務に役立つ情報を見つけ出す手法・技術の総称",
ストラテジ系,BPD,Business Process Diagram,プロセスの機能を網羅的に表現するために、一つの要件に対し発しする事象を条件分岐の形式で記述する,
ストラテジ系,BPM,Business Process Management,企業内の業務の流れを可視化し、業務改善サイクルを適用することによって、継続的な業務改善を図る手法,
ストラテジ系,BPO,Business Process Outsourcing,経営資源をコアビジネスに集中させるために、社内業務のうちコアビジネス以外の業務を外部に委託すること,
ストラテジ系,BPR,Business Process Reengineering,"業務プロセスを抜本的に見直し再設計する手法
コスト、品質、サービス、スピードを革新的に改善させるために、ビジネスプロセスをデザインし直す概念のこと",
ストラテジ系,BRP,Business Process Reengineering,コスト、品質、サービス、スピードを革新的に改善させるために、ビジネスプロセスをデザインし直す概念のこと,
ストラテジ系,BTO,Build to Order,受注生産,
ストラテジ系,BYOA,Bring Your Own Access,私有するクラウドサービスやモバイルアプリで業務データを扱うこと,
ストラテジ系,BYOD,Bring Your Own Device,"従業員が個人的に所有するPCやスマートフォンなどの情報端末を職場に持ち込み、それを業務に仕様することを意味する
企業側はBYODを導入することで、これまで従業員に支給していた情報機器の調達コストや通信費を削減できるなどのメリットがあるが、管理が不十分端末を業務に仕様することになるので、情報漏洩やマルウェア感染などのセキュリティリスクは大きくなる",
ストラテジ系,CAB,Change Advisory Board,変更諮問委員会。要求されたシステム変更を承認または却下することを任務として設置した組織,
ストラテジ系,CAD/ CAM,"Computer Aided Design/ 
Computer Aided Manufacturing","・工業製品や建築物などの設計図面を作成する
・コンピューター支援製造。工場などの生産ラインをコンピューターを利用して制御するシステム

CAD/ CAMシステム：CADで作成された設計データをCAMに取り込み、CAMから工作機械に製造情報をおくることで生産ラインの制御が行われる仕組み",
ストラテジ系,CAE,Computer Aided Engineering,工業製品の設計・開発においてコンピューターを用いてシミュレーションや数値解析を行うこと,
ストラテジ系,CC,Creative Commons,"クリエイエィブコモンズ。著作物の再利用に関して著作者が提示する条件を策定し普及を進める活動やそれを行う団体のこと
著作物の共有をより円滑に行うために、再利用の許諾条件を著作者があらかじめ明示する枠組みを策定して普及させようとする活動及びその運営主体である団体名",
ストラテジ系,CF,Cash Flow statement,"キャッシュフロー。一定期間における現金の流入出の金額を表す
`営業活動`・`投資活動`・`財務活動`",
ストラテジ系,COCOMO,COnstructive COst MOdel,"開発規模が分かっていることを前提として、工数と工期を見積もる方法をである。ビジネス分野に限らず、全分野に適用可能である。
ソフトウェアの見積もりで、予想さっるプログラム行数にエンジニアの能力や要求の信頼性などの補正係数を掛け合わせて開発工数や期間、要因や生産性を見積もる手法",
ストラテジ系,CPIF,Cost Plus Incentive Fee,コストプラスインセンティブフィー契約。請け負った作業の履行に対するコストが償還され、事前に取り決めたフィーと、契約で定めたパフォーマンス目標レベルの達成度に応じたインセンティブを受け取る,
ストラテジ系,CPS,Cyber-Physical Systems,サイバーフィジカルシステム。現実（フィジカル）世界でIoTなどにより得たデータをもとに、サイバー空間でシミュレーションを行い、現実世界へのフィードバックを行うシステムである。災害時のシミュレーションなど、現実で再現が困難な対象にも用いることができる。誤答選択しはいずれも現実世界のデータでシミュレーションしてFBする要素がない,
ストラテジ系,CRM,Customer Relationship Management,多様なチャネルを通して集められた顧客情報を一元化し、活用することによって、顧客との関係を密接にしていく,
ストラテジ系,CSF,Critical Success Factor,重要成功要因。目標・目的を達成する上で決定的な影響を与える要因のことで、重点敵に資源を投下して取り込むべき重要な事項,
ストラテジ系,CSR,Corporate Social Responsibility,"企業活動において経済的成長だけでなく、環境や社会からの要請に対し、責任を果たすことが企業価値の向上につながるという考え方で、企業の社会的責任という意味を持っている
CSR調達は、この取り組みを拡大し、調達先の企業やサプライチェーン全体などにもCSRをもとめるもの
例：自然環境、人権などへの配慮を調達基準として示し、調達先に遵守を求める",
ストラテジ系,CTI,Computer Telephony Integration,受信した電話番号から顧客の情報、過去の問い合わせ内容及び回答の記録を、顧客情報データベースから呼び出してオペレーターの画面に表示する,
ストラテジ系,DFD,Data Flow Diagram,"データフローダイアグラム。データの流れによってプロセスを表現するために、データの発生、吸収の場所、蓄積場所、データの処理をデータの流れを示す矢印でつないで表現する

情報システムの開発の際に作成される業務モデル
システム開発の対象である業務の仕組みやプロセス",
ストラテジ系,DKIM,DomainKeys Identified Mail,アメリカ合衆国の工業的な分野の標準化組織であり公の合意形成のために、様々な企画開発を行う団体,
ストラテジ系,DOA,Data Oriented Approach,データフローダイアグラムを用い、情報に関するモデルと機能に関するモデルを同時に作成する,
ストラテジ系,DWH,Data Ware House,"データウェアハウス。企業内に散在しているデータの有効活用を目的に、過去から現在までの基幹系データベースや外部データベースを整理・統合した効果的な戦略的意思決定を支援するためのデータベースのこと
企業経営の意思決定を支援するために、目的別に編成された、時系列データの集まり",
ストラテジ系,EA,Enterprise Architecture,エンタープライズアーキテクチャ。社会環境や情報擬似術の変化に素早く対応できるよう、全体最適の観点から業務とシステム全体を改革するためのフレームワーク。主に大企業や政府、地方公共団体といった巨大な組織（enterprise）の業務手順と情報システムの標準化、組織の最適化を図るための方法論として活用される,
ストラテジ系,EAI,Enterprise Application Integration,企業内の異なるシステムをお互いに連結し、データやプロセスの統合を図ることによって、システムを全体として効率よく活用する手法,
ストラテジ系,EC,Electronic Commerce,電子商取引。コンピュータネットワークを介した商取引のこと。BtoB、BtoC、CtoCなど,
ストラテジ系,EDI,Electronic Data Interchange,電子データ交交換。異なる組織に設置されている端末間で、通信回線を介して取引のためのメッセージ（データ）を交換すること、またはその仕組み,
ストラテジ系,EMS,Electronics Manufacturing Service,"電子機器の受託生産を行うサービスや企業のこと。製造企業が個別の製品ごとにラインを設置するのは効率が悪いため外部の専門業者に委託するようになり、その結果として発達してきた業務形態
例：物流業務に加えて、流通加工なども含めたアウトソーシングサービスを行い、また荷主企業の物流企画も代行する",
ストラテジ系,EOB,Electronic Order Book,発注情報をデータエントリ端末から入力することによって、本部又は仕入先に送信し、発注を行うシステムである,
ストラテジ系,EOS,Electronic Ordering System,電子発注システム,
ストラテジ系,ERP,Enterprise Resource Planning,企業全体の経営資源を有効かつ総合的に計画して管理し、経営の効率向上を図るための手法・概念である,
ストラテジ系,EVA,Economic Value Added,"経済的付加価値のこと。企業が一定期間に生み出した経済的価値を評価する指標のひとつ
EVA = 税引後営業利益 - 投下資本 * 資本コスト",
ストラテジ系,EVM,Earned Value Management,"開発の期間と費用がトレードオフの関係にある場合に、総費用の最適化を図る。作業の出来高の時間的な推移を表現するのに適しており、費用管理と進捗管理が同時に行える。
パフォーマンス測定に使用するEVMの管理対象の組みは：コスト、スケジュール

PV(Planned Value)：プロジェクト開始当初、現時点までに計画されていた作業に対する予算
EV(Earned Value)：現時点までに完了した作業に割り当てられていた予算
AC(Actual Cost)：現時点までに完了した作業に対して実際に投入した総コスト

EC - AC < 0 ：コスト超過。完了済作業に対する予算よりも投下コストが多い
EV - PV < 0：進捗遅れ。完了済作業に対する予算が当初の予算よりも少ない

スケジュール効率(SPI)、EV / PVで求めることが出来る。SPIは1より小さいのでスケジュール効率は計画よりも悪いと判断できる",
ストラテジ系,FAQ,Frequently Asked Questions,何回も繰り返し質問される項目とその質問への回答をまとめたコンテンツのこと。いわゆる「よくある質問とその答え」や「Q&A」と呼ばれるもの。頻繁に問い合わせがある内容をその答えとともに提示することで、素早く解決できるようになるため、サポートデスクのコスト削減につながる,
