分野,単語,英語,意味
ITパスポート,ウェアラブルデバイス,wearable,"ウェアラブル：着用できる、身に付けられるなどの意味がある
スマートウォッチで血圧や体温などの測定データを取得し、異常を早期に検知する"
ITパスポート,ディスクロージャー,Disclosure,企業などが投資者や債権者などの利害関係者に対してｍ営業や財務の状況をはじめ各種の情報を公開すること、またはそれを義務付けする情報開示制度
ITパスポート,フェルミ,,正確に算出することが極めて難しい数量に対して、把握している情報と論理的な思考プロセスによって概数を求める手法
ストラテジ系,"【マーケティング】
セグメンテーション",,【ターゲット層】店舗なあどにおいて、商品やサービスを購入者のニーズに合致するような形態で提供するために行う一連の活動
ストラテジ系,"【マーケティング】
ドミナント戦略",,【店舗展開】配送コストの削減と、消費者への接続頻度増加によるエリア密着向上を狙って、同一エリア内に密度の高い店舗展開を行うこと
ストラテジ系,"【マーケティング】
マーチャンダイジング",,"【商品中心・商品売買手法】主に店頭において、消費者の求める商品を、適切な数量、適切な価格、適切なタイミングなどで提供するための一連の活動を表す言葉。具体的な活動として、商品の調達、値付け、陳列、販促などがある

マーチャンダイズ：商品や商品を売買するという意味の英語"
ストラテジ系,"【マーケティング】
ロジスティクス",,【物流管理】製品の出庫から販売に至るまでの物の流れを統合的に捉え、物流チャネル全体を効果的に管理すること
ストラテジ系,"CCDイメージセンサー
CMOSイメージセンサー",,光を電気信号に変換する撮像素子のこと
ストラテジ系,eマーケットプレイス,e-Marketplace,多くの売り手と買い手が、インターネット上に設けられた市場を通じて出会い、中間流通業者を介さず、直接取引を行う手法
ストラテジ系,アーキテクチャ,Architecture,構造
ストラテジ系,アクティベーション,Activation,正当な手続きを経ることによってアカウントまたはソフトウェア/ハードウェアを活動（アクティブ）状態にすること。不正利用を防止するために設けられている
ストラテジ系,アフィリエイト広告,,"成果報酬型広告。
個人のWebサイトやブロックに企業の広告を掲載し、ユーザーがそのアフィリエイト広告を経由し、商品を購入するなどの`成果条件を満たした場合、報酬が発生する`"
ストラテジ系,アライアンス,,"企業合併や資本提携、販売提携など企業同士の連携を意味する言葉
業務提携を通じて、企業同士が連携、共同して事業を進めていくことを表す。アライアンスを締結することで、他社が保有している技術やノウハウを得るなどの不得意分野の保管や、事業投資リスクの軽減といった効果が期待できる"
ストラテジ系,イノベーション,Innovation,今までにない、新たな価値を生み出すこと
ストラテジ系,インキュベーション,,起業家や新事業の育成を支援する場のこと
ストラテジ系,オーサリング,,文字、画像、音声などのデータを組み合わせて一つのコンテンツを作ること
ストラテジ系,オプトアウト,Opt out,"生成AIにおいて、オプトアウトとは利用者が自分の入力情報を生成AIの学習データとして利用されないように設定することである

一度許可（オプトイン）したアクションに対して後から拒否を行う手続き、およびその仕組み"
ストラテジ系,オプトイン,Opt-in,"広告メールの配信や個人情報の取得などアクションに先だって相手に承諾を求め、承諾を得た相手に対してだけそのアクションを実施する仕組み

特定電子メール、個人情報保護法など"
ストラテジ系,オムニチャネル,,"販売者と消費者の接点。
実店舗、広告、運送業者、カタログ、オンラインストアなど、同一の利便性で商品にアクセスできるようにすること"
ストラテジ系,オンでマント型,On-demand,ユーザーの要求があった際に、その要求に応じてサービスを提供することがある。近年の映像配信サービスにはこの形態が多い
ストラテジ系,ガバナンス,Governance,統治・支配・管理
ストラテジ系,クロスライセンス,,外部技術の導入手法の一つで、企業が互いに有する特許の実施権を相互に許諾するもの
ストラテジ系,ゲーム理論,,"利害関係を持ち、行動が互いに影響し合う複数の個人や企業などについて、その行動を数理的に分析する理論である

例：競争者がいる地域での販売戦略の策定"
ストラテジ系,コアコンピタンス,Core Comppetence,自社の競合優位性を生む、競合他社に真似出来ない能力のこと
ストラテジ系,コーポレートガバナンス,Corporate Governance,"取締役会の実効性。企業統制
「企業の収益力の強化」、「企業の不祥事を防ぐ」"
ストラテジ系,コンカレントエンジニアリング,Concurrent Engineering,"コンカレント：並行、同時に（発生）
主に製造業において、設計から生産に至るまでの各プロセスを同時並行的に行うことで、開発期間や納期の短縮および生産コストの削減を図る手法"
ストラテジ系,コンジョイント分析,,購入者が商品において何を重視しているのかを分析する手法
ストラテジ系,サービスマーク,,役務商標。商品ではなくサービス
ストラテジ系,システムインテグレータ,System Integrators,情報システムの企画、構築、運用などの業務を一括して請け負う
ストラテジ系,シュリンクラップ契約,Shrink-wrap,購入者が`ソフトウェアのパッケージを開封する`ことで、`使用許諾に同意した`とみなす契約
ストラテジ系,ジョイントベンチャー,,合併企業。複数の企業が出資し合って相互の利益のために共同で経営を行っている企業のこと
ストラテジ系,スピンオフ,spin-off,一般的に派生や副産物を表す言葉として認識されているが、経営戦略上のスピンオフは、ある事業目的のため既存の会社の一部を分割し、元の会社との関係を保ったまま別の会社として独立させることを意味する
ストラテジ系,セグメンテーション,Segmentation,全体をいくつかの区分に分けて取り扱う手法
ストラテジ系,ダイバーシティ,,多様性
ストラテジ系,デファクトスタンダード,,"公には特段定められているわけでないのに、市場のシェアやユーザーからの支持により事実上その分野で標準的なものと認識されている状態のことを言う
特定の企業やグループなどが採用した仕様が広く使用されるようになり、事実上の業界標準になったもの"
ストラテジ系,ハイブリッド,Hybrid,複数の方式を組み合わせる、交雑種
ストラテジ系,パブリックドメイン,public domain,著作者が著作権を放棄するなどして知的財産権が消滅している状態のことをいう。誰もが自由に利用できる
ストラテジ系,ファシリテーター,Facilitator,進行役
ストラテジ系,ベストプラクティス,,将来のあるべき姿、成功事例など
ストラテジ系,ホワイトリスト,,すべて「拒否」する初期状態に「許可」する行為を定義したもの。迷惑メールフィルターなどで使用される
ストラテジ系,マーケットバスケット,,購買データの分析により、同時に購入されやすい商品の組合を明らかにする手法
ストラテジ系,リスティング報告,,"検索連動型広告。
検索エンジンを運営する企業と契約し、自社の商品・サービスと関連したキーワードが検索に用いられた際に広告を表示する仕組み"
