分野,単語,意味の違い
ITパスポート,色々なIoTシステム,"・組み込みシステム：「エンベデッドシステム」。産業機器や家電製品の特定機能を実現すること目的として、最初から機器内部に搭載されているシステム

・エンタープライズシステム：全社規模で導入される大型の情報システムのこと

・エキスパートシステム：1980年代の人工知能研究から生まれたコンピューターシステムで、人間の専門家（エキスパート）の意思決定過程をコンピューター上で再現するもの

・シンプレックスシステム：二重化などを行わず必要最低限の機器で構成される一系統のシステムのこと"
ストラテジ系,"・クラウドソーシング
・クラウドファンディング","・発注者がインターネット上で発注対象の業務内容や発注条件を告知し、受注者を募集する
・企業や起業家がインターネット上で事業資金を必要とする目的や内容を告知し、資金提供者を募集する"
ストラテジ系,"・スケールメリット
・シナジー効果","・規模の経済性ともいわれ、生産規模を拡大するほど生産性や経済効率が向上し、利益率が高くなることをいう。生産量が多いほど享受できる生産上の利点のこと
・相乗効果ともいわれ、2つ以上の要素が組み合わせることで、それぞれの単体で得られる効果の合計より大きな効果を得ることが出来る"
ストラテジ系,"・デジタルディバイド
・デジタルサイネージ
・デジタルネイティブ
・デジタルウォーターマーク
・デジタル署名
・デジタルトランスフォーメーション","・情報格差
・電子看板
・生まれた時から、パソコンやスマートフォン及びインターネットなどが側にあり、それらの中で生活することや電子機器を利活用することが当たり前の環境の中で育った世代のこと
・電子透かし。不正利用を防止するためにデータに識別情報を埋め込む技術
・情報の正当性を保証するために使用される電子的な署名
・DX。クラウド、モバイル、AI,IoTなどの新たなデータとデジタル技術を戦略的に活用してビジネスを変革し、競争上の優位性を確立すること"
ストラテジ系,"・ファブレス
・ファウンドリ","・生産工場（fabrication）を所要しない
・他社から半導体のっ生産を受託することを専門とする会社な。複数の企業から生産だけを専門に請け負い、多くの製品を艇コストで生産する"
ストラテジ系,"・ベンチマーキング
・コアコンピタンス","・自社の製品やサービスを測定し、他社の優れた’それから」
・他社を見て学ぶ"
ストラテジ系,"【標準化】
ISO900001シリーズ
品質システム要求事項",設計、開発、製造、試験
ストラテジ系,"【標準化】
ISOなんちゃら","・ `ISO 9000`      シリーズ：`品質`マネジメントシステム
　　・JIS Q 9000 シリーズ
　　・ISO 9001：組織の品質マネジメントシステムについて要求事項を定めた国際標準規格。製品・サービスの品質管理や顧客満足度の向上を目的としている

・`ISO 14000`     シリーズ：`環境`マネジメントシステム
　　・JIS Q 14000 シリーズ
　　・ISO 14001：組織の環境マネジメントシステムについて要求事項を定めた国際標準規格。企業や組織が環境への負荷を最小限に抑えるための仕組みを構築・運用することを目的としてる
　　・ISO 15001：個人情報保護マネジメントシステムの構築・運用に関する日本産業規格。主に「プライバシーマーク制度」の審査基準として用いられている

・`ISO/IEC 20000` シリーズ：`ITサービス`マネジメントシステム
　　・JIS Q 20000 シリーズ

・ `ISO/IEC 27000` シリーズ：`情報セキュリティ`マネジメントシステム
　　・JIS Q 27000 シリーズ
　　・ISO/IEC 27017：クラウドサービスの提供と利用に関しての情報セキュリティ管理策が規定された国際基準規格。情報セキュリティ管理策のベストプラクティスを定めたISO/IEC 27002を基準として、クラウドサービス固有のリスクに対応する追加的な管理策が示されている。ISO/IEC 27017に対応する認証制度として、ISMSクラウドセキュリティ認証がある"
ストラテジ系,"【標準化】
デジュール標準
（デジュレスタンダード）","公的な標準化機関において、透明かつ公正な手続きの下、関係者が合意の上で制定したもの

・ITIL（アイティル）：ITサービスマネジメントのベストプラクティスを集めたフレームワーク

・ISMS：情報セキュリティマネジメントシステム。情報の機密性、完全性、可用性を適切に維持管理する体制の構築し、運用し、改善することを目的とする

・JIS（日本産業規格）：工業製品が、定められた品質、寸法、機能及び形状の範囲内であることを保証したもの

・プライバシーマーク：JIS Q 15001に基づき、個人情報について適切な保護措置を講ずる多成を設備している事業者などを認定し、事業活動に関してプライバシーマークの使用を認める制度

・ISO 90001：品質マネジメントシステムに関する国際規格。品質を管理する体制を構築し、運用し、改善することを通して、顧客要求事項を満たすことを目的とするので、設問の目的に適合する方策"
ストラテジ系,"【標準化】
デファクト標準
（デファクトスタンダード）","特定の企業が開発した仕様が’利用された結果、事実上の業界標準になったもの

Windows、PhotoShop、Microsoft Office、Google"
ストラテジ系,"【標準化】
フォーラム標準","特定の分野に関心のある複数の企業などが集まって結成した組織が、規格として作った物

W3C、IETF、DVD、MPEG、USG、Bluetooth"
ストラテジ系,"【法律】
サイバーセキュリティ基本法","・6つの基本理念
・国、地方公共団体、重要社会基盤事業者、サイバー関連事業者その他の事業者、教育研究機関の責務
・国民の努力義務
・サイバーセキュリティ戦略
・11個の基本的施策
・サイバーセキュリティ戦略本部の設置

1. 国の行政機関等におけるサイバーセキュリティの確保
2. 重要社会基盤事業者等におけるサイバーセキュリティの確保の促進
3. 民間事業者及び教育研究機関等の自発的な取り組みの促進
4. 多様な主体の連携等
5. サイバーセキュリティ協議会の組織
6. 犯罪の取り締及び被害の拡大の防止
7. 我が国の安全に重大な影響を及ぼす恐れのある事象への対応
8. 産業の振興及び国際競争力の強化
9. 研究開発の推進等
10. 人材の確保等
11. 教育及び学習の振興、普及啓発等
12. 国際協力の推進等"
