分野,公式,内容,イメージ図1,イメージ図2,イメージ図3
グラフあれこれ,OC曲線,"Operating Characteristic curve。検査特性曲線
製品の抜き取り検査を行う際に、製造ロットの`不良率`と`合格率`の関係を表した図
ある不良率のロットがどのくらいの確率で合格できるかがわかる",,,
グラフあれこれ,"PDM
Precedence Diagramming Method","プレシデンスダイアグラム法
個々の作業を四角で囲み、作業動詞を矢印で結ぶことで作業順序や依存関係を上限する図法

作業同士を表すという意味でがアローダイアグラムと同じだが、アローダイアグラムでは作業を矢印で結合点を丸のノードで示す

開始/ 終了 - 終了/ 開始（Start/ Finish and Finish/ Start）(SS/ SF/ FS/ FF)などの関係を記述できる

作業の順序や相互関係をネットワーク状に示したもの",,,
グラフあれこれ,PDPC,"Process Decision Program Chart
実施過程で起こりうる不測の事態を事前に予測しながら、計画の開始から最終結果に至る過程や手順を時間の推移に従って矢印で結合した図であり、試行錯誤をさえられない状態における最適策の立案に役立つ",,,
グラフあれこれ,UML,"オブジェクト指向のシステム開発で使用され、分析から設計、実装まで一貫した表記方法でモデル化したもの。
業務プロセスのモデリングの表記法

構造図：
クラス図、コンポジット構造図、コンポーネント図、配置図、オブジェクト図、パッケージ図

振る舞い図：
アクティビティ図、ユースケース図、シーケンス図、インタラクション概念図、コラボレーション図、タイミング図、ステートマシン図














.",,,
グラフあれこれ,WBS,"Work Breakdown Structure
作業分解構造図。プロジェクト全体を階層的に細かい作業に分割する手法である。各手順を洗い出したり、各担当者を割り振って管理したりするために用いられる

作業を階層的に詳細化して、管理可能な大きさに細分化する

階層的に細分化された構造図の中で最下層に位置する個々の部分をワークパッケージといい、プロジェクトを実施する際のコントロール単位となる",,,
グラフあれこれ,Zグラフ,主に売り上げの推移などを見るのに使われる折れ線グラフの一種で、月々の売上、売上累計、移動年計の3つの折れ線グラフを1つのグラフで表したもの,,,
グラフあれこれ,"アローダイアグラム
PERT","Program Evaluation and Review Technique
`作業の順序`や`所要時間`などの情報を組み合わせて、プロジェクト全体の流れを図示する
・最も早く開始できる：スタートから見る
・最も遅く開始できる：ゴールから見る
・`最早結合点時刻` > `最遅結合点時刻` = `日数差`日も作業が`遅れても問題ない`ライン

作業の順序や相互関係をネットワーク状に示したもの
作業遅れによるほかの作業への影響を明確にすることができる
作業の順序関係を明示することができる
進捗管理上のポイントであるクリティカルパスを明確にすることができる",,,
グラフあれこれ,ガントチャート,"プロジェクトの進捗を管理するためのスケジュール表。各タスクの進捗状況、全体の計画が一目でわかる
日程について予定と実績を対比することができる",,,
グラフあれこれ,トレンドチャート,"計算の予算・工期、および実績の費用・進捗を表す2本の折れ線グラフを並べたグラフで、差異の把握や傾向（トレンド）の分析に用いられる
作業の新著億状況と、予算の消費状況を関連付けて折れ線で示したもの",,,
グラフあれこれ,バブルチャート,3つの要素を同時に可視化することのできる図表を用いる必要がある,,,
グラフあれこれ,パレート図,"値が`大きい項目から順に`並べた棒グラフと、その数値の`累積比率`を折れ線グラフで表した図
各項目が全体でどれくらいの割合を占めているかが一目でわかり、`改善活動の優先度`付けができる
`ABC分析`：累積比率に対して、Aランク、Bランク、、、とランク付けし、重点項目を把握する",,,
グラフあれこれ,ヒストグラム,"収集したデータをいくつかの区間に分け、区間ごとに該当するデータの出現回数を棒グラフで示した図で、データの分析状況を分析するのに使用される





.",,,
グラフあれこれ,レーダーチャート,"複数の項目の大きさや量を比較することのできるグラフ。各項目は円状または正多角状に配置される。
その形状から蜘蛛の巣グラフとも呼ばれる",,,
グラフあれこれ,因果関係分析法,"複数のデータ間のインカ関係を分析する手法









.",,,
グラフあれこれ,管理図,"品質や製造工程が安定な状態で管理されている状態にあることを判断するために使用するグラフ

中央線および上限と下限を示す限界線を引いて、製品などの特性値を打点することで、工程の状況や品質を時系列に表した図で、工程が安定した状態にあるかどうかを判断するために使用される。
生産管理に用いる場合は、縦軸に不良品の個数、横軸に日付をとり、統計的に求めら上方管理限界と下方管理限界の線を横軸と並行に引いた図を使用する。毎日不良品個数を打点していき、管理限界から超えた位置に点があれば、その日付に何からの異常が発生していることがわかる",,,
グラフあれこれ,系統図法,目的・目標を達成するための手段・方策を順次展開し、最適な手段・方策を追求していく方法である,,,
グラフあれこれ,散布図,縦軸・横軸に2つ項目の量や大きさなどを　対応させて、分析対象のデータを打点した図で、項目の分布・相関関係を把握するのに使用される,,,
グラフあれこれ,指数平滑法,"`過去の予測値`と`実績値`を利用して`需要値を予測する`方法







.",,,
グラフあれこれ,時系列列回帰分析法,"時系列データを分析することで、それらの関係を表す`回帰モデル`と呼ばれる数式を明らかにし、将来の売り上げヨソ子などに用いる手法












.",,,
グラフあれこれ,状況遷移図,"（オートマトン）
状態が`どのように移り変わるか`説明をする











.",,,
グラフあれこれ,親和図法,収集した情報を相互に関連によってグループ化し、解決すべき問題点を明確にする方法である,,,
グラフあれこれ,折れ線グラフ,主に時間の経過と対象となるデータの推移をみるためのグラフ。点と点が互いに関係していることを認め直線を引くことで、連続的なデータの推移を視覚化する図,,,
グラフあれこれ,線形計画法,"限られた材料・予算の中で、最大の利益や効果を得るためにはどうすればいいかを求める手法











.",,,
グラフあれこれ,帯グラフ,帯状の長方形をある長さで区切り、その各部分の面積で数量の大きさを表す。全体に対しての割合の大小を見るのに便利なグラフ,,,
グラフあれこれ,特性要因図,"フィッシュボーンダイアグラム（魚の骨）
原因と結果の関連を体系的に表しあ図
結果に対して`直接的`なまたは`間接的`な原因を分類でき、真の`問題点を明確に`する",,,
グラフあれこれ,連関図法,"複雑な要因の絡み合う事象について、その事象間の因果関係を明らかにする方法である








.",,,
ストラテジ系,DFD,"Data Flow Diagram
データの流れによってプロセスを表現するために、データの発生、吸収の場所、蓄積場所、データの処理をデータの流れを示す矢印でつないで表現する







.",,,
ストラテジ系,E-R,"Enity-Relationship Diagram
データベース化の対象となる実体（エンティティ）と実体の持つ属性（アトリビュート）、実体間の関連（リレーションシップ）を表現する図。データーをモデル化する方法で、関係データベースの設計に利用される",,,
ストラテジ系,EVM,"Earned Value Management
プロジェクトにおける作業を金銭的の価値に置く替えて、コストとスケジュールを定量的に管理する進捗管理手法
予算値と実績値からPV、EV、ACの各指標を算出し、それぞれを比較することでコスト差異とスケジュール差異を把握する








.",,,
ストラテジ系,PEST分析,"政治（Politics）
経済（Economy）
社会（Society）
技術（Technology）

マクロ環境：組織の外部環境のうちコントロールできない業界外の環境のこと",,,
ストラテジ系,PPM,"Product Portfolio Management
事業や製品を`市場成長率`と`市場占有率`の`マトリックス`によって分類し、`最適な経営資源配分`を判断する手法

`市場成長率`：事業の市場規模が前年と比べて増加した割合。`高いほど積極的な投資が必要`
`市場占有率`：マーケットシェア。市場を占める自社の事業や商品の売り上げの割合。`高いほど利益を生み出す力が大きくなる`

花形、金のなる木（占有率高）、問題児（成長率高）、負け犬",,,
ストラテジ系,アンゾフの成長マトリクス,"市場X製品、既存X新規

* 市場浸透：`既存市場`に対して、`既存製品`で事業拡大する場合の戦略
    * 例：現在の市場で現有製品の広告、宣伝を強化し、顧客の購入頻度や購入量を増やす

* 製品開発：`既存市場`に対して、`新規製品`で事業拡大する場合の戦略
    * 例：新たな機能を付加した製品や新規に開発した製品を、現在の市場に投入する

* 市場開拓：`新規市場`に対して、`既存製品`で事業拡大する場合の戦略
    * 例：現有製品で海外市場に進出し、新たな市場セグメントの開拓を図る

* 多角化　：`新規市場`に対して、`新規製品`で事業拡大する場合の戦略
    * 例：技術開発、業務提携、M&Aなどで、新たな製品や市場での成長の機会を求める",,,
ストラテジ系,エンタープライズアーキテクチャ（EA）,"Enterprise Architecture
エンタープライズアーキテクチャ。社会環境や情報擬似術の変化に素早く対応できるよう、全体最適の観点から業務とシステム全体を改革するためのフレームワーク。主に大企業や政府、地方公共団体といった巨大な組織（enterprise）の業務手順と情報システムの標準化、組織の最適化を図るための方法論として活用される

情報システムや業務プロセスの現状を把握し、あるべき企業の姿とのギャップを埋めるための目標を設定し、全体最適化を図ること






.

",,,
ストラテジ系,コトラーの競争戦略,"マーケットシェアの大きさの観点から、競争地位に応じた企業の戦略をとる手法

`経営資源の量`と`経営資源の質`によって、リーダー、ニッチャー、チャレンジャー、フォロワーと4つの地位分類

ニッチャー：専門化、集中化
チャレンジャー：差別化",,,
ストラテジ系,バリューチェーン,"活動を`主活動`と`支援活動`に分け、`企業の製品`や`サービスの利益`がどの活動で生み出されているか分析することで、自社の強み・弱みを明確にする








.",,,
ストラテジ系,プロダクトライフサイクル,"`導入期`、`成長期`、`成熟期`、`衰退期`の4つのステージに分類し、成長ステージにあった戦略を分析する手法
    * `導入期`：`市場拡大`を狙って、商品の認知度を高める
    * `成長期`：`市場浸透`を目的に、競合他社との差別化を図るために自社のブランドを高める 
    * `成熟期`：商品を改良するなどして、`シェア維持`・利益の確保を狙う
    * `衰退期`：コストを抑えながら、`生産性を確保`する（場合によっては撤退）",,,
ストラテジ系,マーケティングミックス（`4P`と`4C`）,"マーケティングの`フレームワーク`や`ツール`を組み合わせて、自社の商品を`効果的に販売する`手法
製品戦略、価格戦略、チャネル戦略、プロモーション戦略などを組み合わせる














.",,,
ストラテジ系,ロングテール,"売れ筋商品の売り上げ合計よりも、`あまり売れない商品の売り上げ合計のほうが、無視できないくらい大きくなっている現象`
リアル店舗だと売り場面積が限られているため、売れ筋商品しか並ばないが、`ネットショッピングではあまり売れない商品も取り扱える`

ビジネスとしては成功させるためには豊富な品揃えと効率的な在庫・配送管理が必要
大規模な物流センターの構築や活用






.",,,
ストラテジ系,技術のSカーブ,"技術は、最初は緩やかに進歩するが、どこかの時点で急激に進歩し、その後伸びなくなる








.",,,
ストラテジ系,財務三表,"・貸借対照表(B/S)
    ・期末の財務状況
    ・資産
    ・負債
    ・純資産

・損益計算書(P/L)
    ・売上高
    ・売上総利益 = 売上高 - 売上原価（期首商品棚卸高 + 当期商品仕入高 - 期末商品棚卸高）
    ・営業利益    = 売上総利益 - 販売費及び一般管理費
    ・経常利益    = 営業利益 + 営業外利益 - 営業外費用
    ・税引前当期純利益 = 経常利益 + 特別利益 - 特別損失
    ・当期純利益 = 税引前当期純利益 - 法人税、住民税及び事業税等

・キャッシュフロー計算書(C/F)
    ・1年間の現金の流れ
    ・営業CF：本業でのお金の増減
    ・投資CF：投資でのお金の増減
    ・財務CF：資金調達でのお金の増減",,,
ストラテジ系,"財務三表
貸借対照表","(B/S)
資産・負債・純資産を掲載し、ある時点の財務状況を表す

資産　：投資有価証券、売掛金
負債　：社債
純資産：資本金








.",,,
テクノロジ系,アナログ信号からデジタル信号への変換,"1. 標本化：一定時間単位でデータを区切り標本を抽出
2. 量子化：測定したデータを数値化。音のレベルを区切って数値化する
3. 符号化：量子化で数値化した値を2進数に変換。 正確に変換するには、データ量も大きくなる











.",,,
